Kategoria,Hangszer_Nev,Oldalcim,URL
Digital,Qs300 W5 W7,"Yamaha QS300, W5, W7 Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/yamaha/QS300_W5_W7.html
Digital,Mm6,Yamaha MM6 Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/yamaha/MM6.html
Digital,Qy700 Qy70 Qy300,"Yamaha QY700, QY70, QY300 Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/yamaha/QY700_QY70_QY300.html
Digital,Fvx1,Yamaha FVX1 Digital Synthesizer,https://www.sequencer.de/syns/yamaha/FVX1.html
Sampler,Memotron,Manikin Memotron Sampler,https://www.sequencer.de/syns/manikin/Memotron.html
Sampler,Mellotron M4000D,"Mellotron Mellotron , M4000D Sampler",https://www.sequencer.de/syns/mellotron/Mellotron_M4000D.html
Digital,Supernova2 Supernovaii,"Novation Supernova 2, Supernova II Digital Synthesizer",https://www.sequencer.de/syns/novation/Supernova2_SupernovaII.html
Digital,Fizmo,Ensoniq Fizmo Digital Synthesizer,https://www.sequencer.de/syns/ensoniq/Fizmo.html
Sampler,K2500 K2600,"Kurzweil K2500, K2600 Sampler workstation sequencer",https://www.sequencer.de/syns/kurzweil/K2500_K2600.html
Sampler,K2661,Kurzweil K2661 Sampler workstation sequencer,https://www.sequencer.de/syns/kurzweil/K2661.html
Digital,Virustisnow,Access Virus Ti Snow Digital Synthesizer,https://www.sequencer.de/syns/access/VirusTiSnow.html
Digital,Sledge,Studiologic Sledge Digital Synthesizer,https://www.sequencer.de/syns/studiologic/Sledge.html
Digital,Blofeld,Waldorf Blofeld Digital Synthesizer,https://www.sequencer.de/syns/waldorf/Blofeld.html
Digital,Jv90,Roland JV90 Digital Synthesizer,https://www.sequencer.de/syns/roland/JV90.html
Digital,Nordstage Nordstageex,"Clavia Nord Stage , Nord Stage Ex Digital Synthesizer",https://www.sequencer.de/syns/clavia/NordStage_NordStageEx.html
Digital,Nordstage2,Clavia Nord Stage 2 Digital Synthesizer,https://www.sequencer.de/syns/clavia/NordStage2.html
Digital,Triton Tritonle,"Korg Triton , Triton LE Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/korg/Triton_TritonLE.html
Digital,Karma,Korg Karma Digital Synthesizer algorithmic arranger sequencer,https://www.sequencer.de/syns/korg/Karma.html
Digital,X50 Microx,"Korg X50, micro X Digital Synthesizer",https://www.sequencer.de/syns/korg/X50_microX.html
Digital,Tr61 Tr76 Tr88,"Korg TR61, TR76, TR88 Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/korg/TR61_TR76_TR88.html
Sampler,Z4 Z8,"Akai Z4, Z8 Sampler",https://www.sequencer.de/syns/akai/Z4_Z8.html
Sampler,S5000 S6000,"Akai S5000, S6000 Sampler",https://www.sequencer.de/syns/akai/S5000_S6000.html
Digital,Qs6 Qs7 Qs8 Qsr,"Alesis QS6, QS7, QS8, QSr Digital Synthesizer",https://www.sequencer.de/syns/alesis/QS6_QS7_QS8_QSr.html
Digital,Quadrasynth Qs Qsplus,"Alesis Quadrasynth , QS, Qs Plus Digital Synthesizer",https://www.sequencer.de/syns/alesis/Quadrasynth_QS_QsPlus.html
Digital,Xwp1,Casio XWP1 Digital Synthesizer TR sequencer,https://www.sequencer.de/syns/casio/XWP1.html
Digital,Xwg1,Casio XWG1 Digital Synthesizer TR sequencer,https://www.sequencer.de/syns/casio/XWG1.html
Digital,Planetphatt,Emu Planet Phatt Digital Synthesizer,https://www.sequencer.de/syns/emu/PlanetPhatt.html
Digital,Orbit,Emu Orbit Digital Synthesizer,https://www.sequencer.de/syns/emu/Orbit.html
Sampler,E6400 E64 E5000,"Emu e 6400, e 64, e 5000 Digital Synthesizer simple sequencer",https://www.sequencer.de/syns/emu/e6400_e64_e5000.html
Sampler,Esi4000 Esi2000,"Emu ESI4000, ESI2000 Digital Synthesizer simple sequencer",https://www.sequencer.de/syns/emu/ESI4000_ESI2000.html
Digital,Planetearth Carnaval,"Emu Planet Earth , Carnaval Digital Synthesizer",https://www.sequencer.de/syns/emu/PlanetEarth_Carnaval.html
Digital,Proteus2000,Emu Proteus 2000 Digital Synthesizer,https://www.sequencer.de/syns/emu/Proteus2000.html
Digital,B3,Emu B3 Digital Synthesizer,https://www.sequencer.de/syns/emu/B3.html
Digital,Mophatt,Emu Mo Phatt Digital Synthesizer,https://www.sequencer.de/syns/emu/MoPhatt.html
Digital,N1 N5 N264 N364,"Korg N1, N5, N264, N364 Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/korg/N1_N5_N264_N364.html
Digital,X5 X5D X5Dr,"Korg X5, X5D, X5DR Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/korg/X5_X5D_X5DR.html
Digital,Jv1080,Roland JV1080 Digital Synthesizer,https://www.sequencer.de/syns/roland/JV1080.html
Digital,Jv2080,Roland JV2080 Digital Synthesizer,https://www.sequencer.de/syns/roland/JV2080.html
Digital,Xp50 Xp30,"Roland XP50, XP30 Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/roland/XP50_XP30.html
Digital,Xp60,Roland XP60 Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/roland/XP60.html
Digital,Xp80,Roland XP80 Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/roland/XP80.html
Digital,Xv5050,Roland XV5050 Digital Synthesizer,https://www.sequencer.de/syns/roland/XV5050.html
Digital,Jv1010 Xv2020,"Roland JV1010, XV2020 Digital Synthesizer",https://www.sequencer.de/syns/roland/JV1010_XV2020.html
Digital,Junod,Roland Juno D Digital Synthesizer,https://www.sequencer.de/syns/roland/JunoD.html
Digital,Gaia Sh01,"Roland Gaia , SH01 Digital Synthesizer simple sequencer",https://www.sequencer.de/syns/roland/Gaia_SH01.html
Digital,Wsa1,Technics WSA1 Digital Synthesizer,https://www.sequencer.de/syns/technics/WSA1.html
Digital,Cs2X,Yamaha CS2x Digital Synthesizer,https://www.sequencer.de/syns/yamaha/CS2x.html
Digital,Cs6X,Yamaha CS6x Digital Synthesizer,https://www.sequencer.de/syns/yamaha/CS6x.html
Digital,Cs6R,Yamaha CS6R Digital Synthesizer,https://www.sequencer.de/syns/yamaha/CS6R.html
Digital,Ex7,Yamaha EX7 Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/yamaha/EX7.html
Sampler,A3000 A4000,"Yamaha A3000, A4000 Sampler simple sequencer",https://www.sequencer.de/syns/yamaha/A3000_A4000.html
Digital,S30 S80 S90,"Yamaha S30, S80, S90 Digital Synthesizer",https://www.sequencer.de/syns/yamaha/S30_S80_S90.html
Digital,Mo6 Mo7 Mo8,"Yamaha MO6, MO7, MO8 Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/yamaha/MO6_MO7_MO8.html
Digital,Mox6 Mox8,"Yamaha MOX6, MOX8 Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/yamaha/MOX6_MOX8.html
Sampler,Mu100R Mu90R,"Yamaha MU100R, MU90R Sampler",https://www.sequencer.de/syns/yamaha/MU100R_MU90R.html
Digital,Jdxa,Roland Jd Xa Hybrid Synthesizer TR sequencer,https://www.sequencer.de/syns/roland/JdXa.html
Digital,Microq,Waldorf micro Q Digital Synthesizer,https://www.sequencer.de/syns/waldorf/microQ.html
Digital,Microqkb Microqkeyboard,"Waldorf micro Qkb , Micro QKeyboard Digital Synthesizer",https://www.sequencer.de/syns/waldorf/microQkb_MicroQKeyboard.html
Digital,Virusti Polar,"Access Virus TI, Polar Digital Synthesizer",https://www.sequencer.de/syns/access/VirusTI_Polar.html
Digital,Virusti2 Polar2Darkstar,"Access Virus TI2, Polar 2Dark Star Digital Synthesizer",https://www.sequencer.de/syns/access/VirusTI2_Polar2DarkStar.html
